"hed__School_Code__c","Name","Parent.hed__School_Code__c","csuoee__Type__c","csuoee__Program_Friendly_Name__c","csuoee__Program_Level__c","csuoee__Program_Cost__c","csuoee__Fall_Application_Deadline__c","csuoee__Spring_Application_Deadline__c","csuoee__Summer_Application_Deadline__c","csuoee__Unit_Type__c"
"","Professional Education Unallocated","","","","","","","","",""
"","New Program Launch Unallocated","","","","","","","","",""
"PRSP-DD-MPSP","MPSP Prevention Science Practice","1570","Degree","Prevention Science Practice Masters","GR","18900.0","7/15","12/1","4/15","Credit"
"ENIF-CT","Entrepreneurship and Innovation","BU","Certificate","Entrepreneurship and Innovation Certificate","GR","8982.0","","","","Credit"
"OGLF-CT","CT Organizational Leadership","1201","Certificate","Organizational Leadership Certificate","GR","8982.0","","","","Credit"
"CF","Corporate Finance","BU","Certificate","Corporate Finance Certificate","GR","8982.0","7/31","1/1","","Credit"
"AGSC-DZ-MAGR","MAGR Ag Sciences/IRMZ","1101","Degree","Integrated Resource Management","GR","18720.0","7/15","12/1","4/1","Credit"
"","Tourism Management (M.T.M.) - China","NR","Degree","Tourism Management - China","GR","24800.0","7/15","12/1","","Credit"
"","Master of Park and Protected Area Management (M.P.P.M)","1480","Degree","Master of Park and Protected Area Management","GR","27125.0","","","","Credit"
"APIF-CT","Applied Investments","BU","Certificate","Applied Investments Graduate Certificate","GR","9980.0","","","","Credit"
"POLS-DD-BA","BA Political Science","1782","Degree","Political Science","UG","57120.0","6/1","11/1","5/1","Credit"
"","CSU Online Brand","OEE","","","","","","","",""
"","CSU Online Generic","OEE","","","","","","","",""
"AMGF-CT","Arts Management graduate certificate","LA","Certificate","Arts Management","GR","7860.0","7/15","12/15","","Credit"
"","Professional Education Generic","","","","NC","","","","","Noncredit"
"HYDF-CT","Hydraulic Design","EG","","Hydraulic Design Graduate Certificate","GR","8937.0","5/1","12/1","","Credit"
"FWCB-BS","BS Fish, Wildlife, and Conservation Biology","1474","Degree","","UG","","","","","Credit"
"GUES-CEUG","GUEST/Undergraduate","1001","Degree","","UG","","","","","Credit"
"FACS-BS","BS Family and Consumer Sciences","1588","Degree","","UG","","","","","Credit"
"ARTM-PRTZ-BF","BFA Art/Printmaking","1770","Degree","","UG","","","","","Credit"
"AREC-PHD","PhD Agricultural & Resource Ec","1172","Degree","","GR","","","","","Credit"
"RDHL-PHD","PhD Radiological Health","1681","Degree","","GR","","","","","Credit"
"HORT-DHHZ-MS","MS Horticulture/Horticulture and Human Health","ENGR-ASEZ","Degree","","GR","","","","","Credit"
"MATH-MS","MS Mathematics","1874","Degree","","GR","","","","","Credit"
"POLS-MA","MA Political Science","1782","Degree","","GR","","","","","Credit"
"ECON-PHD","PhD Economics","1771","Degree","","GR","","","","","Credit"
"ENGL-LINZ-BA","BA English/LINZ","1773","Degree","","UG","","","","","Credit"
"SPMG-KDZ-MSM","MSM Sport Management/Sport Marketing","1701","Degree","","GR","","","","","Credit"
"HIST-DPUZ-BA","BA History/DPUZ","1776","Degree","","UG","","","","","Credit"
"TOXC-PHD","PHD Toxicology","1681","Degree","","GR","","","","","Credit"
"ELEG-BMEL-BS","BS Biomedical Engineering and BS Electrical Engineering/Laser and Optical Engine","1301","Degree","","UG","","","","","Credit"
"FWCB-PHD","PhD Fish, Wildlife, and Conservation Biology","1474","Degree","","GR","","","","","Credit"
"BENR-PHD","PhD Bioengineering","1376","Degree","","GR","","","","","Credit"
"BMSC-MS","MS Biomedical Sciences","1680","Degree","","GR","","","","","Credit"
"BNRG-PHD","PhD Human Bioenergetics","1582","Degree","","GR","","","","","Credit"
"ANMG-PHD","PhD Animal Sciences","1171","Degree","","GR","","","","","Credit"
