"hed__School_Code__c","hed__Primary_Contact__c"
"12443909","003VA00000J89M4YAJ"
"12443903","003VA00000J89LDYAZ"
"12443896","003VA00000J89LEYAZ"
"12443864","003VA00000J89LIYAZ"
"12443854","003VA00000J89LLYAZ"
"12443601","003VA00000J8xJrYAJ"
"12443600","003VA00000J8xJsYAJ"
"12443321","003VA00000J8xJJYAZ"
"12443320","003VA00000J8xJKYAZ"
"12443319","003VA00000J8xJLYAZ"
"12443318","003VA00000J8xJMYAZ"
"12443021","003VA00000J8xIzYAJ"
"12442679","003VA00000J8xISYAZ"
"12442678","003VA00000J8xITYAZ"
"12442677","003VA00000J8xIPYAZ"
"12442676","003VA00000J8xIQYAZ"
"12442675","003VA00000J8xIWYAZ"
"12442674","003VA00000J8xIXYAZ"
"12442673","003VA00000J8xIUYAZ"
"12442672","003VA00000J8xIVYAZ"
"12442671","003VA00000J8xIaYAJ"
"12442670","003VA00000J8xIbYAJ"
"12442669","003VA00000J8xIYYAZ"
"12442668","003VA00000J8xIZYAZ"
"12442667","003VA00000J8xIeYAJ"
"12442666","003VA00000J8xIfYAJ"
"12442665","003VA00000J8xIcYAJ"
"12442664","003VA00000J8xIdYAJ"
"12442663","003VA00000J8xIiYAJ"
"12442662","003VA00000J8xIjYAJ"
"12442661","003VA00000J8xIgYAJ"
"12442660","003VA00000J8xIhYAJ"
"12442659","003VA00000J8xImYAJ"
"12442658","003VA00000J8xIoYAJ"
"12442657","003VA00000J8xIkYAJ"
"12442656","003VA00000J8xIlYAJ"
"12442655","003VA00000J8xIpYAJ"
"12442538","003VA00000J8xHcYAJ"
"12442518","003VA00000J8xHhYAJ"
"12442517","003VA00000J8xHfYAJ"
"12442516","003VA00000J8xHgYAJ"
"12442515","003VA00000J8xHkYAJ"
"12442514","003VA00000J8xHlYAJ"
"12442512","003VA00000J8xHiYAJ"
"12442511","003VA00000J8xHnYAJ"
"12442415","003VA00000J8xI2YAJ"
"12442293","003VA00000J8xGcYAJ"
"12442289","003VA00000J8xGdYAJ"
"12442288","003VA00000J8xGfYAJ"
"12442281","003VA00000J8xGhYAJ"
"12442257","003VA00000J8xGjYAJ"
"12442255","003VA00000J8xGlYAJ"
"12442253","003VA00000J8xGkYAJ"
"12442251","003VA00000J8xGmYAJ"
"12442224","003VA00000J8xHSYAZ"
"12442221","003VA00000J8xHUYAZ"
"12442220","003VA00000J8xHVYAZ"
"12442145","003VA00000J8xGxYAJ"
"12442143","003VA00000J8xH1YAJ"
"12442142","003VA00000J8xH2YAJ"
"12442141","003VA00000J8xGzYAJ"
"12442140","003VA00000J8xH0YAJ"
"12442137","003VA00000J8xH3YAJ"
"12442136","003VA00000J8xH5YAJ"
"12442135","003VA00000J8xH9YAJ"
"12442133","003VA00000J8xH7YAJ"
"12442132","003VA00000J8xH8YAJ"
"12442131","003VA00000J8xHCYAZ"
"12442130","003VA00000J8xHDYAZ"
"12442129","003VA00000J8xHAYAZ"
"12442128","003VA00000J8xHBYAZ"
"12442127","003VA00000J8xHGYAZ"
"12442126","003VA00000J8xHHYAZ"
"12442125","003VA00000J8xHEYAZ"
"12442124","003VA00000J8xHFYAZ"
"12442123","003VA00000J8xHJYAZ"
"12442122","003VA00000J8xHKYAZ"
"12442121","003VA00000J8xHIYAZ"
"12442119","003VA00000J8xHLYAZ"
"12442111","003VA00000J8xFfYAJ"
"12442100","003VA00000J8xFgYAJ"
"12442063",""
"12442047","003VA00000J8xFWYAZ"
"12442046",""
"12442045","003VA00000J8xFVYAZ"
"12442041",""
"12441960","003VA00000J8xFxYAJ"
"12441959","003VA00000J8xG0YAJ"
"12441958","003VA00000J8xG1YAJ"
"12441957","003VA00000J8xFyYAJ"
"12441956","003VA00000J8xFzYAJ"
"12441955","003VA00000J8xG4YAJ"
"12441954","003VA00000J8xG5YAJ"
"12441953","003VA00000J8xG2YAJ"
"12441952","003VA00000J8xG3YAJ"
"12441951","003VA00000J8xG8YAJ"
"12441950","003VA00000J8xG9YAJ"
"12441949","003VA00000J8xG6YAJ"
"12441948","003VA00000J8xG7YAJ"
"12441947","003VA00000J8xGCYAZ"
"12441946","003VA00000J8xGDYAZ"
"12441945","003VA00000J8xGAYAZ"
"12441944","003VA00000J8xGBYAZ"
"12441943","003VA00000J8xGFYAZ"
"12441942","003VA00000J8xGGYAZ"
"12441941","003VA00000J8xGEYAZ"
"12441939","003VA00000J8xGJYAZ"
"12441938","003VA00000J8xGKYAZ"
"12441937","003VA00000J8xGHYAZ"
"12441936","003VA00000J8xGIYAZ"
"12441935","003VA00000J8xGOYAZ"
"12441934","003VA00000J8xGPYAZ"
"12441933","003VA00000J8xGLYAZ"
"12441932","003VA00000J8xGMYAZ"
"12441930","003VA00000J8xGUYAZ"
"12441929","003VA00000J8xGQYAZ"
"12441928","003VA00000J8xGRYAZ"
"12441927","003VA00000J8xGYYAZ"
"12441926","003VA00000J8xGZYAZ"
"12441925","003VA00000J8xGVYAZ"
"12441924","003VA00000J8xGXYAZ"
"12441923","003VA00000J8xGaYAJ"
"12441915","003VA00000J8xFpYAJ"
"12441904",""
"12441903",""
"12441902",""
"12441883",""
"12441873",""
"12441715","003VA00000J8xFMYAZ"
"12441714","003VA00000J8xFNYAZ"
"12441695","003VA00000J8xFOYAZ"
"12441694","003VA00000J8xFPYAZ"
"12441252","003VA00000J8xEKYAZ"
"12441243",""
"12441242",""
"12441241",""
"12441218","003VA00000J8xENYAZ"
"12441114","003VA00000J8xEWYAZ"
"12441112","003VA00000J8xEVYAZ"
"12441111","003VA00000J8xEYYAZ"
"12441110","003VA00000J8xEZYAZ"
"12441109","003VA00000J8xEXYAZ"
"12441108",""
"12441068","003VA00000J8xDsYAJ"
"12441067",""
"12441061",""
"12441060",""
"12441059",""
"12441057",""
"12441056",""
"12441055",""
"12441054",""
"12441010","003VA00000J8xDVYAZ"
"12441009","003VA00000J8xDTYAZ"
"12441008","003VA00000J8xDUYAZ"
"12441007","003VA00000J8xDYYAZ"
"12441006","003VA00000J8xDZYAZ"
"12441005","003VA00000J8xDWYAZ"
"12441004","003VA00000J8xDXYAZ"
"12441003","003VA00000J8xDbYAJ"
"12440993","003VA00000J8xDeYAJ"
"12440992","003VA00000J8xDfYAJ"
"12440991","003VA00000J8xDiYAJ"
"12440990","003VA00000J8xDjYAJ"
"12440989","003VA00000J8xDgYAJ"
"12440988","003VA00000J8xDhYAJ"
"12440987","003VA00000J8xDkYAJ"
"12440978","003VA00000J8xDnYAJ"
"12440899","003VA00000J8xEGYAZ"
"12440898","003VA00000J8xEHYAZ"
"12440897","003VA00000J8xEFYAZ"
"12440883","003VA00000J8xE2YAJ"
"12440882","003VA00000J8xE3YAJ"
"12440881","003VA00000J8xE0YAJ"
"12440880","003VA00000J8xE1YAJ"
"12440877","003VA00000J8xE5YAJ"
"12440876","003VA00000J8xE6YAJ"
"12440796","003VA00000J8xCrYAJ"
"12440795","003VA00000J8xCvYAJ"
"12440794","003VA00000J8xCwYAJ"
"12440793","003VA00000J8xCsYAJ"
"12440792","003VA00000J8xCtYAJ"
"12440791","003VA00000J8xCxYAJ"
"12440773","003VA00000J8xD0YAJ"
