"hed__School_Code__c","Name","Parent.hed__School_Code__c"
"OEE","Colorado State University Extended Campus",""
"IP","Intra-Programs","126818"
"IU","Intra-University","126818"
"LA","College of Liberal Arts","126818"
"NS","College of Natural Sciences","126818"
"NR","Warner College of Natural Resources","126818"
"AG","College of Agricultural Sciences","126818"
"BU","College of Business","126818"
"HS","College of Health and Human Sciences","126818"
"EG","College of Engineering","126818"
"VM","College of Veterinary Medicine and Biomedical Sciences","126818"
