"Name","Display_Name__c","hed__Account__r.hed__School_Code__c","csuoee__Banner_Designation__c","hed__Description__c","hed__Facility_Type__c"
"Yates","CSU Fort Collins - Yates","126818","YATES","Yates","Building"
"Weber Building","CSU Fort Collins - Weber Building","126818","WEBER","Weber Building","Building"
"Walnut","CSU Fort Collins - Walnut","126818","WALNT","Walnut","Building"
"Wagar","CSU Fort Collins - Wagar","126818","WAGAR","Wagar","Building"
"Veterinary Teaching Hospital","CSU Fort Collins - Veterinary Teaching Hospital","126818","VETTH","Veterinary Teaching Hospital","Building"
"University Square","CSU Fort Collins - University Square","126818","UNVSQ","University Square","Building"
"University Services Center","CSU Fort Collins - University Services Center","126818","UNVSC","University Services Center","Building"
"Do Not Use","CSU Fort Collins - Do Not Use","126818","UNGH","Do Not Use","Building"
"University Center Arts East","CSU Fort Collins - University Center Arts East","126818","UCAAX","University Center Arts East","Building"
"University Center for the Arts","CSU Fort Collins - University Center for the Arts","126818","UCA","University Center for the Arts","Building"
"Univ. Alaska-Fairbanks","CSU Fort Collins - Univ. Alaska-Fairbanks","126818","UAF","Univ. Alaska-Fairbanks","Building"
"Tennis Courts","CSU Fort Collins - Tennis Courts","126818","TNCRT","Tennis Courts","Building"
"Translational Medicine Inst","CSU Fort Collins - Translational Medicine Inst","126818","TMI","Translational Medicine Inst","Building"
"The Institute for Learn/Teach","CSU Fort Collins - The Institute for Learn/Teach","126818","TILT","The Institute for Learn/Teach","Building"
"Summit Hall","CSU Fort Collins - Summit Hall","126818","SUMIT","Summit Hall","Building"
"Stock Pavilion","CSU Fort Collins - Stock Pavilion","126818","STKPV","Stock Pavilion","Building"
"Lory Student Center","CSU Fort Collins - Lory Student Center","126818","STCTR","Lory Student Center","Building"
"Statistics  Building","CSU Fort Collins - Statistics  Building","126818","STAT","Statistics  Building","Building"
"Stadium","CSU Fort Collins - Stadium","126818","STADM","Stadium","Building"
"CSU Spur Campus","CSU Fort Collins - CSU Spur Campus","126818","SPUR","CSU Spur Campus","Building"
"Spruce Hall","CSU Fort Collins - Spruce Hall","126818","SPRUC","Spruce Hall","Building"
"Shepardson","CSU Fort Collins - Shepardson","126818","SHEP","Shepardson","Building"
"Scott Bioengineering","CSU Fort Collins - Scott Bioengineering","126818","SCOTT","Scott Bioengineering","Building"
"Do Not Use","CSU Fort Collins - Do Not Use","126818","SCGYM","Do Not Use","Building"
"Semester at Sea","CSU Fort Collins - Semester at Sea","126818","SAS","Semester at Sea","Building"
"Sage Hall","CSU Fort Collins - Sage Hall","126818","SAGE","Sage Hall","Building"
"Routt Hall","CSU Fort Collins - Routt Hall","126818","ROUTT","Routt Hall","Building"
"Student Recreation Center","CSU Fort Collins - Student Recreation Center","126818","RECTR","Student Recreation Center","Building"
"Richardson Design Center","CSU Fort Collins - Richardson Design Center","126818","RDC","Richardson Design Center","Building"
"Rockwell West","CSU Fort Collins - Rockwell West","126818","RCKWLW","Rockwell West","Building"
"Rockwell North","CSU Fort Collins - Rockwell North","126818","RCKWLN","Rockwell North","Building"
"Rockwell","CSU Fort Collins - Rockwell","126818","RCKWL","Rockwell","Building"
"Powerhouse Energy Institute","CSU Fort Collins - Powerhouse Energy Institute","126818","PWRH","Powerhouse Energy Institute","Building"
"Pueblo","CSU Fort Collins - Pueblo","126818","PUEBLO","Pueblo","Building"
"Pre Construction Center","CSU Fort Collins - Pre Construction Center","126818","PRECON","Pre Construction Center","Building"
"Plant Science","CSU Fort Collins - Plant Science","126818","PLSCI","Plant Science","Building"
"Pinon Hall","CSU Fort Collins - Pinon Hall","126818","PINON","Pinon Hall","Building"
"Physiology","CSU Fort Collins - Physiology","126818","PHYSL","Physiology","Building"
"Poudre High, Fort Collins","CSU Fort Collins - Poudre High, Fort Collins","126818","PHSFC","Poudre High, Fort Collins","Building"
"Plant Growth Facilities","CSU Fort Collins - Plant Growth Facilities","126818","PGFAC","Plant Growth Facilities","Building"
"Plant Environment Research Ctr","CSU Fort Collins - Plant Environment Research Ctr","126818","PERC","Plant Environment Research Ctr","Building"
"Pathology","CSU Fort Collins - Pathology","126818","PATH","Pathology","Building"
"Painter Center","CSU Fort Collins - Painter Center","126818","PAINTC","Painter Center","Building"
"Online","CSU Fort Collins - Online","126818","ONLINE","Online","Building"
"Occupational Therapy Building","CSU Fort Collins - Occupational Therapy Building","126818","OCCTH","Occupational Therapy Building","Building"
"Nutrien","CSU Fort Collins - Nutrien","126818","NUTRN","Nutrien","Building"
"Natural Resources Research Lab","CSU Fort Collins - Natural Resources Research Lab","126818","NRRL","Natural Resources Research Lab","Building"
"Newsom Hall","CSU Fort Collins - Newsom Hall","126818","NEWS","Newsom Hall","Building"
"Natural Environmental Sciences","CSU Fort Collins - Natural Environmental Sciences","126818","NESB","Natural Environmental Sciences","Building"
"Natural Resources","CSU Fort Collins - Natural Resources","126818","NATRS","Natural Resources","Building"
"Music Building","CSU Fort Collins - Music Building","126818","MUSIC","Music Building","Building"
"Mountain Campus","CSU Fort Collins - Mountain Campus","126818","MTNCPS","Mountain Campus","Building"
"Molecular Radiological Biosci","CSU Fort Collins - Molecular Radiological Biosci","126818","MRBSC","Molecular Radiological Biosci","Building"
"Military Sciences","CSU Fort Collins - Military Sciences","126818","MILSC","Military Sciences","Building"
"Military Annex","CSU Fort Collins - Military Annex","126818","MILAX","Military Annex","Building"
"Microbiology","CSU Fort Collins - Microbiology","126818","MICRO","Microbiology","Building"
"Do Not Use","CSU Fort Collins - Do Not Use","126818","MERCAX","Do Not Use","Building"
"Moby/Sport Science Complex","CSU Fort Collins - Moby/Sport Science Complex","126818","MB/SS","Moby/Sport Science Complex","Building"
"Lory Apartments","CSU Fort Collins - Lory Apartments","126818","LORY","Lory Apartments","Building"
"Morgan Library","CSU Fort Collins - Morgan Library","126818","LIBRY","Morgan Library","Building"
"Laurel Hall","CSU Fort Collins - Laurel Hall","126818","LAURL","Laurel Hall","Building"
"Johnson Hall","CSU Fort Collins - Johnson Hall","126818","JNTHR","Johnson Hall","Building"
"Industrial Sciences Laboratory","CSU Fort Collins - Industrial Sciences Laboratory","126818","ISLAB","Industrial Sciences Laboratory","Building"
"Ingersoll Hall","CSU Fort Collins - Ingersoll Hall","126818","INGE","Ingersoll Hall","Building"
"Industrial Science","CSU Fort Collins - Industrial Science","126818","INDSC","Industrial Science","Building"
"Do Not Use","CSU Fort Collins - Do Not Use","126818","HRTGH","Do Not Use","Building"
"Horticulture Center","CSU Fort Collins - Horticulture Center","126818","HORTC","Horticulture Center","Building"
"Conservation House","CSU Fort Collins - Conservation House","126818","HMMGT","Conservation House","Building"
"HES Teaching Facility","CSU Fort Collins - HES Teaching Facility","126818","HESTF","HES Teaching Facility","Building"
"Guggenheim","CSU Fort Collins - Guggenheim","126818","GUGHM","Guggenheim","Building"
"General Services Building","CSU Fort Collins - General Services Building","126818","GSB","General Services Building","Building"
"Glenn Morris Field House","CSU Fort Collins - Glenn Morris Field House","126818","GMFH","Glenn Morris Field House","Building"
"Glover","CSU Fort Collins - Glover","126818","GLOVR","Glover","Building"
"Gifford","CSU Fort Collins - Gifford","126818","GIFRD","Gifford","Building"
"Gibbons Building","CSU Fort Collins - Gibbons Building","126818","GIBNS","Gibbons Building","Building"
"Forestry","CSU Fort Collins - Forestry","126818","FRSTY","Forestry","Building"
"Fort Collins High School Annex","CSU Fort Collins - Fort Collins High School Annex","126818","FCHSX","Fort Collins High School Annex","Building"
"Fort Collins High, Fort Collin","CSU Fort Collins - Fort Collins High, Fort Collin","126818","FCHSFC","Fort Collins High, Fort Collin","Building"
"Equine Reproduction Center","CSU Fort Collins - Equine Reproduction Center","126818","ERL","Equine Reproduction Center","Building"
"Engineering Research Center","CSU Fort Collins - Engineering Research Center","126818","ERC","Engineering Research Center","Building"
"Equine Center","CSU Fort Collins - Equine Center","126818","EQCTR","Equine Center","Building"
"Edora Pool & Ice Center","CSU Fort Collins - Edora Pool & Ice Center","126818","EPIC","Edora Pool & Ice Center","Building"
"Environmental Health","CSU Fort Collins - Environmental Health","126818","ENHLT","Environmental Health","Building"
"Engineering","CSU Fort Collins - Engineering","126818","ENGRG","Engineering","Building"
"Edwards Hall","CSU Fort Collins - Edwards Hall","126818","EDWS","Edwards Hall","Building"
"Education","CSU Fort Collins - Education","126818","EDUC","Education","Building"
"Eddy","CSU Fort Collins - Eddy","126818","EDDY","Eddy","Building"
"Durrell Center","CSU Fort Collins - Durrell Center","126818","DURRL","Durrell Center","Building"
"Drake Hall","CSU Fort Collins - Drake Hall","126818","DRAKE","Drake Hall","Building"
"Diagnostic Medical Center","CSU Fort Collins - Diagnostic Medical Center","126818","DIAMD","Diagnostic Medical Center","Building"
"Health and Medical Center","CSU Fort Collins - Health and Medical Center","126818","CSUHMC","Health and Medical Center","Building"
