"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c","csuoee__Banner_Surrogate_ID__c","csuoee__AUCC_Category__c","hed__Credit_Hours__c","csuoee__Credit_Hours_Max__c","csuoee__Guaranteed_Transfer__c","csuoee__Guaranteed_Transfer_Category__c","csuoee__Quality_Matters__c"
"TEST 101","TEST 101","TEST 101","OEE","","","TEST-101","","","","","","false","","false"
"AA 100: Introduction to Astronomy","AA 100","AA 100","1875","","<p>Description of the various objects found in the heavens as well as the principles and techniques employed in investigations of these objects. Topics include: the sky and its motions, physical laws, stars, planetary systems, and astrobiology.</p><p>Students requiring lab credit should also take AA 101 – Astronomy Laboratory.</p>","AA-100","Description of the various objects found in the heavens as well as the principles and techniques employed in investigations of these objects.","5791.0","","3.0","","false","","false"
"AA 101: Astronomy Laboratory","AA 101","AA 101","1875","","<p>Conduct observations, experiments, and simulations to develop an intuitive understanding of astronomical phenomena.</p>","AA-101","Conduct observations, experiments, and simulations to develop an intuitive understanding of astronomical phenomena.","5792.0","","1.0","","false","","false"
"AA 250: Introduction to Astrophysics","AA 250","AA 250","1875","","","AA-250","","34502.0","","3.0","","false","","false"
"AA 495: Independent Study-Astrophysics","AA 495","AA 495","1875","","","AA-495","","5797.0","","1.0","6.0","false","","false"
"AB 130: Agricultural Biology Data","AB 130","AB 130","1177","","","AB-130","","29362.0","","1.0","","false","","false"
"AB 230: Ag Bio Professional","AB 230","AB 230","1177","","","AB-230","","29363.0","","1.0","","false","","false"
"ACT 210: Intro to Financial Acct","ACT 210","ACT 210","1271","","<p>This course teaches the fundamentals of financial accounting. Upon the completion of this course, students will be able to:<br />• Analyze the impact of economic transactions on the accounting equation<br />• Record economic transactions using financial accounting language<br />• Prepare financial statements to disseminate financial accounting information<br />• Analyze financial statements to make sound investment decisions using financial accounting information</p>","ACT-210","Use of accounting information by decision makers; development of the basic accounting model, and issues concerning income and cash flows.","5615.0","","3.0","","false","","false"
"ACT 211: Accounting Professional Skills","ACT 211","ACT 211","1271","","<p>Survey of accounting profession career options, certifications, and professional skills.</p>","ACT-211","Survey of accounting profession career options, certifications, and professional skills.","14141.0","","1.0","","false","","false"
"ACT 311: Intermediate Accounting I","ACT 311","ACT 311","1271","","<p>Preparation and analysis of financial statements under U.S. generally accepted accounting principles (GAAP); accounting for revenue and assets.</p>","ACT-311","Preparation and analysis of financial statements under U.S. generally accepted accounting principles (GAAP); accounting for revenue and assets.","5609.0","","3.0","","false","","false"
"ACT 321: Cost Management","ACT 321","ACT 321","1271","","<p>Utilizing budgetary and cost accounting information for planning, controlling, and decision-making.</p>","ACT-321","Utilizing budgetary and cost accounting information for planning, controlling, and decision-making.","5611.0","","3.0","","false","","false"
"ACT 330: Introduction to Taxation","ACT 330","ACT 330","1271","","<p>Introduction to U.S. taxation, with emphasis on federal income tax; impact of taxation on business decisions.</p>","ACT-330","Introduction to U.S. taxation, with emphasis on federal income tax; impact of taxation on business decisions.","5612.0","","3.0","","false","","false"
"ACT 487: Internship","ACT 487","ACT 487","1271","","<p>Supervised work experience in public, industry, not-for-profit, or governmental accounting.</p>","ACT-487","Supervised work experience in public, industry, not-for-profit, or governmental accounting.","5624.0","","1.0","18.0","false","","false"
"ACT 496: Group Study","ACT 496","ACT 496","1271","","","ACT-496","","5626.0","","1.0","18.0","false","","false"
"ACT 570: Govrnmnt Acctng&Assurance Serv","ACT 570","ACT 570","1271","","","ACT-570","","5632.0","","3.0","","false","","false"
"ACT 612: Contmp Financial Acctng Issues","ACT 612","ACT 612","1271","","","ACT-612","","5634.0","","3.0","","false","","false"
"ACT 614: FSA & Valuation","ACT 614","ACT 614","1271","","","ACT-614","","1976.0","","3.0","","false","","false"
"ACT 631: Corporate Taxation","ACT 631","ACT 631","1271","","","ACT-631","","5637.0","","3.0","","false","","false"
"ACT 635: State and Local Taxation","ACT 635","ACT 635","1271","","","ACT-635","","5639.0","","3.0","","false","","false"
"ACT 639: Special Topics in Taxation","ACT 639","ACT 639","1271","","","ACT-639","","7405.0","","3.0","","false","","false"
"ACT 695: Independent Study","ACT 695","ACT 695","1271","","","ACT-695","","5644.0","","1.0","18.0","false","","false"
"ACT 696: Group Study","ACT 696","ACT 696","1271","","","ACT-696","","5645.0","","1.0","18.0","false","","false"
"AENG 8420: ESL- STEM Communication","AENG 8420","AENG 8420","1024","","","AENG-8420","","40057.0","","1.0","18.0","false","","false"
"AENG 8422: ESL - STEM Global Solutions","AENG 8422","AENG 8422","1024","","","AENG-8422","","40058.0","","1.0","18.0","false","","false"
"AENG 8425: ESL-STEM Experiential Learning","AENG 8425","AENG 8425","1024","","","AENG-8425","","40059.0","","1.0","18.0","false","","false"
"AENG 8426: ESL - STEM Recitation","AENG 8426","AENG 8426","1024","","","AENG-8426","","40060.0","","1.0","18.0","false","","false"
"AGED 240: Ag Ed Tech Tool Applications","AGED 240","AGED 240","1172","","","AGED-240","","3459.0","","1.0","","false","","false"
"AGED 244: Small Gas Engine Repair&Maint","AGED 244","AGED 244","1172","","","AGED-244","","3379.0","","0.0","2.0","false","","false"
"AGED 320: Tech Lab for Ag Ed","AGED 320","AGED 320","1172","","","AGED-320","","3460.0","","1.0","","false","","false"
"AGED 587: Internship in Extension","AGED 587","AGED 587","1172","","<p>First-hand experiences in extension programming.</p>","AGED-587","First-hand experiences in extension programming.","17705.0","","1.0","2.0","false","","false"
"AGRI 116: Plants and Civilizations","AGRI 116","AGRI 116","1101","","","AGRI-116","","5759.0","","3.0","","false","","false"
"AGRI 496A: Group Study: General","AGRI 496A","AGRI 496A","1101","","","AGRI-496A","","8082.0","","1.0","12.0","false","","false"
"AGRI 587B: Internship--International","AGRI 587B","AGRI 587B","1101","","<p>This is a formal internship coordinated with the local or state cooperative extension office and Colorado State University, College of Agricultural Sciences.</p><p>Students may sign up for 1-6 credits.</p>","AGRI-587B","This is a formal internship coordinated with the local or state cooperative extension office and Colorado State University, College of Agricultural Sciences.","4302.0","","1.0","12.0","false","","false"
"AGRI 631: Building the Business","AGRI 631","AGRI 631","1101","","<p>This course is designed to equip students with the skills required to organize and implement a business. The tools learned in this course are applicable to managing a farm, ranch or any small business. The course also explores human resource management and introduces and explores new and innovative marketing possibilities (alternative revenue sources) to the modern manager. Information is presented on marketing the recreational and aesthetic value of the land.</p>","AGRI-631","Skills required to organize and implement a modern business enterprise with focus on land-based operations.","5714.0","","3.0","","false","","false"
"AGRI 632: Understanding-Managing Land","AGRI 632","AGRI 632","1101","","<p>This course introduces current and future land managers and natural resource decision-makers to the fundamentals of ecological and natural resource interactions that contribute to successful land management. How to interpret existing knowledge and understand the functioning of the land resource is a key element in this course. Also included are the impacts of ecological processes on production and management of the land. This course will equip students to better understand the consequences of using biological tools, fire, mechanical intervention and chemicals to manage land.</p>","AGRI-632","This course introduces to current and future managers the fundamentals of natural resource response that contribute to successful land management. How to read and understand the land is a key element in this course. Also included are the  impacts of ecological process on operation products and the use of mechanism-based understanding to produce reliable management responses. .","5715.0","","0.0","3.0","false","","false"
"AGRI 633: Understanding-Animal Resources","AGRI 633","AGRI 633","1101","","<p>This course focuses on nutritional planes for animals in forage-based environments and their impacts on reproduction in grazing animals. The focus is evaluating the nutritional requirements of a variety of animals including wildlife, and how those requirements vary by stage and type of production, body size, activity and environmental stress. The course evaluates different techniques to quantify the nutritional status of animals as well as explore effectiveness of nutritional supplementation. The course also explores reasons for reproductive success and possible management options for optimizing reproductive performance.</p>","AGRI-633","Evaluating nutritional requirements of a variety of animals; how and why requirements vary according to level of production.","5716.0","","0.0","3.0","false","","false"
"AGRI 634: Animal Production Systems","AGRI 634","AGRI 634","1101","","<p>This course deals with the specific issues involved in developing animal management systems for one or more species of animals in a forage-based environment. The content integrates ecological, nutritional, and reproductive traits to comprise good alternative routes to achieve desired product outputs. Genetic improvement methodology is presented as an alternative to increasing performance of the animal enterprise.</p>","AGRI-634","This course deals with the specific issues involved in developing animal management systems for one or more species of animals in a forage-based environment.","5717.0","","0.0","3.0","false","","false"
"AGRI 635: Integrated Grazing Management","AGRI 635","AGRI 635","1101","","<p>Development of management plans that integrate diverse forage resources including native rangeland and cultivated forages.</p>","AGRI-635","Development of management plans that integrate diverse forage resources including native rangeland and cultivated forages.","5718.0","","0.0","3.0","false","","false"
"AGRI 636: Analyzing/Managing Business","AGRI 636","AGRI 636","1101","","<p>This course focuses on the fundamentals of managing the business of resource management. The student will be able to assimilate, prepare and analyze records and financial statements from the business enterprise and will learn to formulate appropriate budgets from records and other relevant data sources. The student will understand the implications of income taxes and the opportunity cost of capital in business decisions and will devise strategies to manage these issues.</p>","AGRI-636","This course focuses on the fundamentals of managing the business of resource management. The student will be able to assimilate, prepare and analyze records and financial statements from the business enterprise and will learn to formulate appropriate budgets from records and other relevant data sources.","5782.0","","3.0","","false","","false"
"AGRI 637: Understanding Policy","AGRI 637","AGRI 637","1101","","<p>Origination, purpose, and policy effects on land-based enterprises; policy effects on management decisions.<br /><br /><strong><span style=""text-decoration: underline;"">Course Objectives</span>:</strong><br /><br /><span id=""htmldiff0"" class=""diffadded"" title=""Added content"">1.</span> <span id=""htmldiff1"" class=""diffadded"" title=""Added content"">Policy Description:  <br />To understand how and why policies are made:</span> <span id=""htmldiff2"" class=""diffadded"" title=""Added content"">why policies are needed, who the participants are, how policy is implemented and how they impact society.</span><br /><span id=""htmldiff3"" class=""diffadded"" title=""Added content"">2.</span> <span id=""htmldiff4"" class=""diffadded"" title=""Added content"">Policy Analysis:  <br />To understand how to apply policy instruments, to determine who they impact and how, and to understand and use the political economy to make policies more effective</span><br /><span id=""htmldiff5"" class=""diffadded"" title=""Added content"">3.</span> <span id=""htmldiff6"" class=""diffadded"" title=""Added content"">Agricultural and Community Issues:  <br />To study example problems in agriculture that merit policy consideration and how rural landowners interact with the community.</span></p>","AGRI-637","Origination, purpose, and policy effects on land-based enterprises; policy effects on management decisions.","5783.0","","3.0","","false","","false"
"AGRI 638: Monitoring for Success","AGRI 638","AGRI 638","1101","","<p>This course applies an economic lens to look at buying and selling ecosystem services. Students will learn about ecosystem services, but focus on how farmers, ranchers, and other extensive land users can profit from resources on agricultural properties. Examples include hunting and agro-tourism. And we will dig deeper to find other potential ecosystem services. All students will create an ecosystem marketing plan on an actual farm, ranch or other appropriate properties.</p>","AGRI-638","This course applies an economic lens to look at buying and selling ecosystem services. Students will learn about ecosystem services, but focus on how farmers, ranchers, and other extensive land users can profit from resources on agricultural properties.","5784.0","","0.0","3.0","false","","false"
