"hed__Contact__r.csuoee__PIDM__c","hed__Course_Offering__r.lms_hed__LMS_Reference_Code__c","hed__Grade__c","csuoee__Banner_Enrollment_Reference__c","hed__Status__c","hed__Verification_Status__c","hed__Verification_Status_Date__c","csuoee__Banner_Status__c","csuoee__Via_XE__c"
"1.2443909E7","2024FA-MATH-117-801","","202490-71135-12443909","RE","Verified","2024-10-31","","false"
"1.2443854E7","2024FA-HORT-100-801","","202490-71314-12443854","RE","Verified","2024-10-31","","false"
"1.2443601E7","2024FA-HORT-100-840","","202490-74634-12443601","RE","Verified","2024-10-31","","false"
"1.24436E7","2024FA-HORT-100-840","","202490-74634-12443600","RE","Verified","2024-10-31","","false"
"1.2443321E7","2024FA-EDUC-591A-638","","202490-72629-12443321","RE","Verified","2024-10-31","","false"
"1.2443321E7","2024FA-EDUC-591A-637","","202490-72628-12443321","RE","Verified","2024-10-31","","false"
"1.244332E7","2024FA-EDUC-591A-637","","202490-72628-12443320","RE","Verified","2024-10-31","","false"
"1.2443319E7","2024FA-ECON-315-801","","202490-71266-12443319","RE","Verified","2024-10-31","","false"
"1.2443318E7","2024FA-BZ-223-801","","202490-74328-12443318","RE","Verified","2024-10-31","","false"
"1.2443021E7","2024FA-EDUC-695-600","","202490-72634-12443021","RE","Verified","2024-10-31","","false"
"1.2442679E7","2024FA-HORT-100-840","","202490-74634-12442679","RE","Verified","2024-10-31","","false"
"1.2442678E7","2024FA-HORT-100-840","","202490-74634-12442678","RE","Verified","2024-10-31","","false"
"1.2442677E7","2024FA-HORT-100-840","","202490-74634-12442677","RE","Verified","2024-10-31","","false"
"1.2442676E7","2024FA-HORT-100-840","","202490-74634-12442676","RE","Verified","2024-10-31","","false"
"1.2442675E7","2024FA-HORT-100-840","","202490-74634-12442675","RE","Verified","2024-10-31","","false"
"1.2442674E7","2024FA-HORT-100-840","","202490-74634-12442674","RE","Verified","2024-10-31","","false"
"1.2442673E7","2024FA-HORT-100-844","","202490-74709-12442673","RE","Verified","2024-10-31","","false"
"1.2442672E7","2024FA-HORT-100-840","","202490-74634-12442672","RE","Verified","2024-10-31","","false"
"1.2442671E7","2024FA-HORT-100-840","","202490-74634-12442671","RE","Verified","2024-10-31","","false"
"1.244267E7","2024FA-HORT-100-840","","202490-74634-12442670","RE","Verified","2024-10-31","","false"
"1.2442669E7","2024FA-HORT-100-840","","202490-74634-12442669","RE","Verified","2024-10-31","","false"
"1.2442668E7","2024FA-HORT-100-840","","202490-74634-12442668","RE","Verified","2024-10-31","","false"
"1.2442667E7","2024FA-HORT-100-840","","202490-74634-12442667","RE","Verified","2024-10-31","","false"
"1.2442666E7","2024FA-HORT-100-840","","202490-74634-12442666","RE","Verified","2024-10-31","","false"
"1.2442665E7","2024FA-HORT-100-840","","202490-74634-12442665","RE","Verified","2024-10-31","","false"
"1.2442664E7","2024FA-HORT-100-840","","202490-74634-12442664","RE","Verified","2024-10-31","","false"
"1.2442663E7","2024FA-HORT-100-840","","202490-74634-12442663","RE","Verified","2024-10-31","","false"
"1.2442662E7","2024FA-HORT-100-840","","202490-74634-12442662","RE","Verified","2024-10-31","","false"
"1.2442661E7","2024FA-HORT-100-840","","202490-74634-12442661","RE","Verified","2024-10-31","","false"
"1.244266E7","2024FA-HORT-100-840","","202490-74634-12442660","RE","Verified","2024-10-31","","false"
"1.2442659E7","2024FA-HORT-100-840","","202490-74634-12442659","RE","Verified","2024-10-31","","false"
"1.2442658E7","2024FA-HORT-100-840","","202490-74634-12442658","RE","Verified","2024-10-31","","false"
"1.2442657E7","2024FA-HORT-100-840","","202490-74634-12442657","RE","Verified","2024-10-31","","false"
"1.2442656E7","2024FA-HORT-100-840","","202490-74634-12442656","RE","Verified","2024-10-31","","false"
"1.2442655E7","2024FA-HORT-100-840","","202490-74634-12442655","RE","Verified","2024-10-31","","false"
"1.2442518E7","2024FA-SOC-210-801","","202490-75365-12442518","RE","Verified","2024-10-31","","false"
"1.2442518E7","2024FA-SOC-100-801","","202490-71212-12442518","RE","Verified","2024-10-31","","false"
"1.2442516E7","2024FA-MECH-342-801","","202490-74384-12442516","RE","Verified","2024-10-31","","false"
"1.2442515E7","2024FA-CIVE-260-801","","202490-70994-12442515","RE","Verified","2024-10-31","","false"
"1.2442514E7","2024FA-ECON-304-801","","202490-71264-12442514","RE","Verified","2024-10-31","","false"
"1.2442512E7","2024FA-PSY-335-801","","202490-71178-12442512","RE","Verified","2024-10-31","","false"
"1.2442511E7","2024FA-SOWK-550-801","","202490-74221-12442511","RE","Verified","2024-10-31","","false"
"1.2442293E7","2024FA-CIVE-360-801","","202490-74174-12442293","RE","Verified","2024-10-31","","false"
"1.2442289E7","2024FA-BMS-300-801","","202490-72187-12442289","RE","Verified","2024-10-31","","false"
"1.2442289E7","2024FA-VS-331-801","","202490-71231-12442289","RE","Verified","2024-10-31","","false"
"1.2442288E7","2024FA-BC-403-801","","202490-74224-12442288","RE","Verified","2024-10-31","","false"
"1.2442257E7","2024FA-AB-509-801","","202490-74311-12442257","RE","Verified","2024-10-31","","false"
"1.2442255E7","2024FA-BC-351-801","","202490-71103-12442255","RE","Verified","2024-10-31","","false"
"1.2442253E7","2024FA-SOWK-560-802","","202490-77204-12442253","RE","Verified","2024-10-31","","false"
"1.2442251E7","2024FA-IDEA-210-860","","202490-76802-12442251","RE","Verified","2024-10-31","","false"
"1.2442224E7","2024FA-IDEA-210-860","","202490-76802-12442224","RE","Verified","2024-10-31","","false"
"1.2442221E7","2024FA-HORT-100-860","","202490-76791-12442221","RE","Verified","2024-10-31","","false"
"1.244222E7","2024FA-OT-215-801","","202490-70966-12442220","RE","Verified","2024-10-31","","false"
"1.2442145E7","2024FA-MIP-580B6-801","","202490-77088-12442145","RE","Verified","2024-10-31","","false"
"1.2442143E7","2024FA-SYSE-580A8-801","","202490-76750-12442143","RE","Verified","2024-10-31","","false"
"1.2442142E7","2024FA-SOWK-551-801","","202490-70909-12442142","RE","Verified","2024-10-31","","false"
"1.2442141E7","2024FA-CIVE-360-801","","202490-74174-12442141","RE","Verified","2024-10-31","","false"
"1.244214E7","2024FA-CIVE-260-801","","202490-70994-12442140","RE","Verified","2024-10-31","","false"
"1.2442137E7","2024FA-HORT-100-844","","202490-74709-12442137","RE","Verified","2024-10-31","","false"
"1.2442136E7","2024FA-HORT-100-844","","202490-74709-12442136","RE","Verified","2024-10-31","","false"
"1.2442135E7","2024FA-HORT-100-844","","202490-74709-12442135","RE","Verified","2024-10-31","","false"
"1.2442133E7","2024FA-ANEQ-103-860","","202490-76790-12442133","RE","Verified","2024-10-31","","false"
"1.2442132E7","2024FA-HORT-100-844","","202490-74709-12442132","RE","Verified","2024-10-31","","false"
"1.2442131E7","2024FA-HORT-100-844","","202490-74709-12442131","RE","Verified","2024-10-31","","false"
