"Name","csuoee__Part_Of_Term_Reference__c","csuoee__Term__r.csuoee__ODS_Term_ID__c","csuoee__Drop_Date__c","csuoee__Withdraw_50_Date__c","csuoee__Withdraw_0_Date__c"
"DD","202360-DD","202360","","",""
"DG","202360-DG","202360","","",""
"DH","202360-DH","202360","","",""
"ZRD","202360-ZRD","202360","2023-07-25","2023-07-26","2023-07-27"
"ZNF","202360-ZNF","202360","2023-07-01","2023-07-05","2023-07-10"
"ZJE","202360-ZJE","202360","2023-05-31","2023-06-05","2023-06-08"
"ZNI","202360-ZNI","202360","2023-07-02","2023-07-17","2023-07-27"
"ZJD","202360-ZJD","202360","2023-05-31","2023-06-01","2023-06-04"
"IC","202360-IC","202360","","",""
"ZJK","202360-ZJK","202360","2023-06-06","2023-06-27","2023-07-12"
"ID","202360-ID","202360","","",""
"EB","202360-EB","202360","","",""
"EC","202360-EC","202360","","",""
"ED","202360-ED","202360","","",""
"AA","202360-AA","202360","","",""
"AC","202360-AC","202360","","",""
"AD","202360-AD","202360","","",""
"EH","202360-EH","202360","","",""
"AF","202360-AF","202360","","",""
"ZFS","202360-ZFS","202360","2023-05-16","2023-06-27","2023-07-26"
"AH","202360-AH","202360","","",""
"AI","202360-AI","202360","","",""
"AK","202360-AK","202360","","",""
"AL","202360-AL","202360","","",""
"AN","202360-AN","202360","","",""
"1S2","202360-1S2","202360","","",""
"1","202360-1","202360","","",""
"ZOE","202360-ZOE","202360","2023-07-05","2023-07-10","2023-07-13"
"1C","202360-1C","202360","","",""
"ZKD","202360-ZKD","202360","2023-06-06","2023-06-07","2023-06-08"
"EX","202360-EX","202360","","",""
"NA","202360-NA","202360","","",""
"ZKG","202360-ZKG","202360","2023-06-07","2023-06-18","2023-06-26"
"JC","202360-JC","202360","","",""
"JD","202360-JD","202360","","",""
"ZGH","202360-ZGH","202360","2023-05-11","2023-05-24","2023-06-04"
"ZKK","202360-ZKK","202360","2023-06-12","2023-07-03","2023-07-18"
"1M","202360-1M","202360","","",""
"QAL","202360-QAL","202360","","",""
"FD","202360-FD","202360","","",""
"BA","202360-BA","202360","","",""
"AS2","202360-AS2","202360","","",""
"BB","202360-BB","202360","","",""
"25","202360-25","202360","","",""
"BE","202360-BE","202360","","",""
"FI","202360-FI","202360","","",""
"BH","202360-BH","202360","","",""
"BJ","202360-BJ","202360","","",""
"QS1","202360-QS1","202360","","",""
"ZXL","202360-ZXL","202360","2023-06-20","2023-07-23",""
"ZPG","202360-ZPG","202360","2023-07-12","2023-07-23","2023-07-30"
"QS2","202360-QS2","202360","","",""
"ZPF","202360-ZPF","202360","2023-07-12","2023-07-19","2023-07-25"
"ZLE","202360-ZLE","202360","2023-06-13","2023-06-18","2023-06-22"
"ZLD","202360-ZLD","202360","2023-06-13","2023-06-14","2023-06-15"
"ZLG","202360-ZLG","202360","2023-06-14","2023-06-26","2023-07-05"
"ZLF","202360-ZLF","202360","2023-06-14","2023-06-22","2023-06-28"
"ZHE","202360-ZHE","202360","2023-05-16","2023-05-21","2023-05-24"
"ZHD","202360-ZHD","202360","2023-05-16","2023-05-17","2023-05-18"
"ZHG","202360-ZHG","202360","2023-05-17","2023-05-28","2023-06-05"
"ZLK","202360-ZLK","202360","2023-06-20","2023-07-11","2023-07-25"
"ZHF","202360-ZHF","202360","2023-05-17","2023-05-24","2023-05-31"
"ZHI","202360-ZHI","202360","2023-05-21","2023-06-05","2023-06-15"
"ZXX","202360-ZXX","202360","","",""
"A2M","202360-A2M","202360","","",""
"ZHK","202360-ZHK","202360","2023-05-22","2023-06-12","2023-06-27"
"ZHJ","202360-ZHJ","202360","2023-05-22","2023-06-08","2023-06-22"
"CA","202360-CA","202360","","",""
"CB","202360-CB","202360","","",""
"GF","202360-GF","202360","","",""
"ZHO","202360-ZHO","202360","2023-05-25","2023-06-26","2023-07-19"
"CD","202360-CD","202360","","",""
"ZHN","202360-ZHN","202360","2023-05-25","2023-06-25","2023-07-16"
"C2T","202360-C2T","202360","","",""
"CSU","202360-CSU","202360","","",""
"CJ","202360-CJ","202360","","",""
"GSU","202360-GSU","202360","","",""
"ZUD","202360-ZUD","202360","2023-08-15","2023-08-16","2023-08-17"
"D2","202360-D2","202360","","",""
"QSP","202360-QSP","202360","","",""
"ZQE","202360-ZQE","202360","2023-07-18","2023-07-23","2023-07-26"
"ZQG","202360-ZQG","202360","2023-07-19","2023-07-30","2023-08-06"
"XL","202360-XL","202360","","",""
"ZMG","202360-ZMG","202360","2023-06-22","2023-07-03","2023-07-11"
"HD","202360-HD","202360","","",""
"DA","202360-DA","202360","","",""
"HE","202360-HE","202360","","",""
"ZIK","202360-ZIK","202360","2023-05-30","2023-06-20","2023-07-05"
"DB","202360-DB","202360","","",""
"DD","202490-DD","202490","","",""
"HH","202490-HH","202490","","",""
"HI","202490-HI","202490","","",""
"ZEK","202490-ZEK","202490","2024-08-26","2024-09-16","2024-09-30"
"M2","202490-M2","202490","","",""
"DL","202490-DL","202490","","",""
"ZET","202490-ZET","202490","2024-09-04","2024-10-14","2024-11-11"
"ZES","202490-ZES","202490","2024-09-04","2024-10-14","2024-11-11"
"QHG","202490-QHG","202490","","",""
"ZRN","202490-ZRN","202490","2024-11-21","2024-11-22","2024-11-23"
"IA","202490-IA","202490","","",""
"ZJH","202490-ZJH","202490","2024-09-26","2024-10-09","2024-10-17"
"F2F","202490-F2F","202490","","",""
"D2M","202490-D2M","202490","","",""
"IG","202490-IG","202490","","",""
"IH","202490-IH","202490","","",""
"AA","202490-AA","202490","","",""
"12","202490-12","202490","","",""
"EG","202490-EG","202490","","",""
"AD","202490-AD","202490","","",""
"AE","202490-AE","202490","","",""
"AF","202490-AF","202490","","",""
"AH","202490-AH","202490","","",""
"EL","202490-EL","202490","","",""
"AJ","202490-AJ","202490","","",""
"AK","202490-AK","202490","","",""
"AL","202490-AL","202490","","",""
"AP","202490-AP","202490","","",""
"RA","202490-RA","202490","","",""
"AQ","202490-AQ","202490","","",""
"1","202490-1","202490","","",""
"EX","202490-EX","202490","","",""
"ZOI","202490-ZOI","202490","2024-10-31","2024-11-13","2024-11-21"
"QAG","202490-QAG","202490","","",""
"JA","202490-JA","202490","","",""
"NF","202490-NF","202490","","",""
"ZCD","202490-ZCD","202490","2024-08-06","2024-08-07","2024-08-08"
"JF","202490-JF","202490","","",""
"FD","202490-FD","202490","","",""
"FE","202490-FE","202490","","",""
"QAN","202490-QAN","202490","","",""
"FH","202490-FH","202490","","",""
"FJ","202490-FJ","202490","","",""
"SAS","202490-SAS","202490","","",""
"BH","202490-BH","202490","","",""
"BL","202490-BL","202490","","",""
"G2","202490-G2","202490","","",""
"BN","202490-BN","202490","","",""
"BO","202490-BO","202490","","",""
"ZXM","202490-ZXM","202490","2024-09-04","2024-10-14","2024-11-10"
"ZHD","202490-ZHD","202490","2024-09-08","2024-09-09","2024-09-10"
"E2F","202490-E2F","202490","","",""
"KE","202490-KE","202490","","",""
"ZDD","202490-ZDD","202490","2024-08-13","2024-08-14","2024-08-15"
"ZLL","202490-ZLL","202490","2024-10-15","2024-11-06","2024-11-21"
"ZXX","202490-ZXX","202490","","",""
"ZLO","202490-ZLO","202490","2024-10-17","2024-11-17","2024-12-15"
"GE","202490-GE","202490","","",""
"CE","202490-CE","202490","","",""
"GI","202490-GI","202490","","",""
"CI","202490-CI","202490","","",""
"XM","202490-XM","202490","","",""
"ZIE","202490-ZIE","202490","2024-09-19","2024-09-20","2024-09-21"
"LD","202490-LD","202490","","",""
"ZED","202490-ZED","202490","2024-08-20","2024-08-21","2024-08-22"
"ZML","202490-ZML","202490","2024-10-21","2024-11-10","2024-12-01"
"ZMK","202490-ZMK","202490","2024-10-21","2024-11-06","2024-11-19"
"ZEH","202490-ZEH","202490","2024-08-22","2024-09-05","2024-09-15"
"HE","202490-HE","202490","","",""
"ZEI","202490-ZEI","202490","2024-08-25","2024-09-09","2024-09-19"
"DD","202460-DD","202460","","",""
"DG","202460-DG","202460","","",""
"DH","202460-DH","202460","","",""
"ZRD","202460-ZRD","202460","2024-07-23","2024-07-24","2024-07-25"
"E4","202460-E4","202460","","",""
"ZNF","202460-ZNF","202460","2024-07-03","2024-07-11","2024-07-17"
"ZJE","202460-ZJE","202460","2024-06-01","2024-06-04","2024-06-09"
"ZNI","202460-ZNI","202460","2024-06-30","2024-07-15","2024-07-25"
"ZJD","202460-ZJD","202460","2024-05-16","2024-05-17","2024-05-18"
"IC","202460-IC","202460","","",""
"ZJK","202460-ZJK","202460","2024-06-04","2024-06-25","2024-07-10"
"ID","202460-ID","202460","","",""
"ZJM","202460-ZJM","202460","2024-06-06","2024-07-02","2024-07-22"
"EB","202460-EB","202460","","",""
"EC","202460-EC","202460","","",""
"ED","202460-ED","202460","","",""
"AA","202460-AA","202460","","",""
"AC","202460-AC","202460","","",""
"AD","202460-AD","202460","","",""
"EH","202460-EH","202460","","",""
"AF","202460-AF","202460","","",""
"ZFS","202460-ZFS","202460","2024-05-14","2024-06-25","2024-07-24"
"AH","202460-AH","202460","","",""
"AK","202460-AK","202460","","",""
"AL","202460-AL","202460","","",""
"AN","202460-AN","202460","","",""
"1S2","202460-1S2","202460","","",""
"1","202460-1","202460","","",""
"ZOE","202460-ZOE","202460","2024-07-03","2024-07-08","2024-07-11"
"1C","202460-1C","202460","","",""
"ZKD","202460-ZKD","202460","2024-06-04","2024-06-05","2024-06-06"
"ZOH","202460-ZOH","202460","2024-07-07","2024-07-18","2024-07-28"
"EX","202460-EX","202460","","",""
"NA","202460-NA","202460","","",""
"ZKG","202460-ZKG","202460","2024-06-05","2024-06-16","2024-06-24"
"JC","202460-JC","202460","","",""
"JD","202460-JD","202460","","",""
"ZGH","202460-ZGH","202460","2024-05-09","2024-05-22","2024-06-02"
"ZKK","202460-ZKK","202460","2024-06-10","2024-07-01","2024-07-16"
"1M","202460-1M","202460","","",""
"QAL","202460-QAL","202460","","",""
"FD","202460-FD","202460","","",""
"BA","202460-BA","202460","","",""
"AS2","202460-AS2","202460","","",""
"BD","202460-BD","202460","","",""
"25","202460-25","202460","","",""
"BE","202460-BE","202460","","",""
"FI","202460-FI","202460","","",""
"BH","202460-BH","202460","","",""
"BJ","202460-BJ","202460","","",""
"QS1","202460-QS1","202460","","",""
"ZXL","202460-ZXL","202460","2024-06-17","2024-07-21",""
"ZPG","202460-ZPG","202460","2024-07-10","2024-07-21","2024-07-28"
"QS2","202460-QS2","202460","","",""
"ZPF","202460-ZPF","202460","2024-07-10","2024-07-17","2024-07-23"
"ZLE","202460-ZLE","202460","2024-06-11","2024-06-16","2024-06-20"
"ZLD","202460-ZLD","202460","2024-06-11","2024-06-12","2024-06-13"
"ZLG","202460-ZLG","202460","2024-06-12","2024-06-24","2024-07-01"
"ZLF","202460-ZLF","202460","2024-06-12","2024-06-20","2024-06-26"
"ZHE","202460-ZHE","202460","2024-05-14","2024-05-19","2024-05-22"
"ZHG","202460-ZHG","202460","2024-05-15","2024-05-27","2024-06-03"
"ZLK","202460-ZLK","202460","2024-06-17","2024-07-09","2024-07-23"
"ZHF","202460-ZHF","202460","2024-05-15","2024-05-22","2024-05-29"
"ZHI","202460-ZHI","202460","2024-05-19","2024-06-03","2024-06-13"
"ZHK","202460-ZHK","202460","2024-05-20","2024-06-10","2024-06-25"
"ZHJ","202460-ZHJ","202460","2024-05-20","2024-06-06","2024-06-20"
"CA","202460-CA","202460","","",""
"CB","202460-CB","202460","","",""
"GF","202460-GF","202460","","",""
"CC","202460-CC","202460","","",""
"ZHO","202460-ZHO","202460","2024-05-23","2024-06-25","2024-07-17"
"CD","202460-CD","202460","","",""
"ZHN","202460-ZHN","202460","2024-05-23","2024-06-23","2024-07-14"
"CSU","202460-CSU","202460","","",""
"CJ","202460-CJ","202460","","",""
"GSU","202460-GSU","202460","","",""
"ZUD","202460-ZUD","202460","2024-08-13","2024-08-14","2024-08-15"
"QSP","202460-QSP","202460","","",""
"ZQG","202460-ZQG","202460","2024-07-17","2024-07-26",""
"XL","202460-XL","202460","","",""
"ZMG","202460-ZMG","202460","2024-06-20","2024-07-01","2024-07-09"
"HD","202460-HD","202460","","",""
"DA","202460-DA","202460","","",""
"HE","202460-HE","202460","","",""
"ZIK","202460-ZIK","202460","2024-05-28","2024-06-17","2024-07-02"
"DB","202460-DB","202460","","",""
"DC","202460-DC","202460","","",""
"ZIM","202460-ZIM","202460","2024-05-30","2024-06-25","2024-07-15"
"ZRD","202260-ZRD","202260","2022-07-26","2022-07-27",""
"A4","202260-A4","202260","","",""
"ZJE","202260-ZJE","202260","2022-06-01","2022-06-06",""
"ZJD","202260-ZJD","202260","2022-06-01","2022-06-02",""
"IC","202260-IC","202260","","",""
"ZJK","202260-ZJK","202260","2022-06-07","2022-06-27",""
"ID","202260-ID","202260","","",""
"ZJM","202260-ZJM","202260","2022-06-09","2022-07-04",""
"AC","202260-AC","202260","","",""
"AD","202260-AD","202260","","",""
"AF","202260-AF","202260","","",""
"AH","202260-AH","202260","","",""
"AI","202260-AI","202260","","",""
"F2T","202260-F2T","202260","","",""
"AK","202260-AK","202260","","",""
"AL","202260-AL","202260","","",""
"AN","202260-AN","202260","","",""
"1S2","202260-1S2","202260","","",""
"1","202260-1","202260","","",""
"ZKD","202260-ZKD","202260","2022-06-07","2022-06-08",""
"ZKG","202260-ZKG","202260","2022-06-08","2022-06-19",""
"JC","202260-JC","202260","","",""
"ZKI","202260-ZKI","202260","2022-06-12","2022-06-26",""
"JD","202260-JD","202260","","",""
"ZKK","202260-ZKK","202260","2022-06-13","2022-07-03",""
"1M","202260-1M","202260","","",""
"QAL","202260-QAL","202260","","",""
"BA","202260-BA","202260","","",""
"AS2","202260-AS2","202260","","",""
"24","202260-24","202260","","",""
"BD","202260-BD","202260","","",""
"BH","202260-BH","202260","","",""
"BJ","202260-BJ","202260","","",""
"QS1","202260-QS1","202260","","",""
"QS2","202260-QS2","202260","","",""
"ZLE","202260-ZLE","202260","2022-06-14","2022-06-19",""
"ZLD","202260-ZLD","202260","2022-06-14","2022-06-15",""
"ZLG","202260-ZLG","202260","2022-06-15","2022-06-26",""
"ZLF","202260-ZLF","202260","2022-06-15","2022-06-22",""
"ZLK","202260-ZLK","202260","2022-06-20","2022-07-10",""
"A2M","202260-A2M","202260","","",""
"2P","202260-2P","202260","","",""
"CA","202260-CA","202260","","",""
"CB","202260-CB","202260","","",""
"CD","202260-CD","202260","","",""
"CJ","202260-CJ","202260","","",""
"ZUD","202260-ZUD","202260","2022-08-16","2022-08-17",""
"QSP","202260-QSP","202260","","",""
"ZMD","202260-ZMD","202260","2022-06-21","2022-06-22",""
"ZMH","202260-ZMH","202260","2022-06-23","2022-07-06",""
"ZMG","202260-ZMG","202260","2022-06-22","2022-07-03",""
"DA","202260-DA","202260","","",""
"DB","202260-DB","202260","","",""
"DD","202260-DD","202260","","",""
"DG","202260-DG","202260","","",""
"DH","202260-DH","202260","","",""
"DI","202260-DI","202260","","",""
"ZNF","202260-ZNF","202260","2022-06-29","2022-07-06",""
"ZNI","202260-ZNI","202260","2022-07-03","2022-07-17",""
"MB","202260-MB","202260","","",""
"EA","202260-EA","202260","","",""
"EB","202260-EB","202260","","",""
"EC","202260-EC","202260","","",""
"ED","202260-ED","202260","","",""
"EF","202260-EF","202260","","",""
"ZFL","202260-ZFL","202260","2022-05-10","2022-06-02",""
"EH","202260-EH","202260","","",""
"ZFS","202260-ZFS","202260","2022-05-17","2022-06-27",""
"ZOE","202260-ZOE","202260","2022-07-05","2022-07-10",""
"ZOH","202260-ZOH","202260","2022-07-07","2022-07-20",""
"EX","202260-EX","202260","","",""
"NA","202260-NA","202260","","",""
"ZOG","202260-ZOG","202260","2022-07-06","2022-07-17",""
"ZGH","202260-ZGH","202260","2022-05-12","2022-05-25",""
"FA","202260-FA","202260","","",""
"FD","202260-FD","202260","","",""
"FI","202260-FI","202260","","",""
"ZXL","202260-ZXL","202260","2022-06-19","2022-07-24",""
"ZPG","202260-ZPG","202260","2022-07-13","2022-07-24",""
"ZPF","202260-ZPF","202260","2022-07-13","2022-07-20",""
"ZHE","202260-ZHE","202260","2022-05-17","2022-05-22",""
"ZHD","202260-ZHD","202260","2022-05-17","2022-05-18",""
"ZHG","202260-ZHG","202260","2022-05-18","2022-05-30",""
"ZHF","202260-ZHF","202260","2022-05-18","2022-05-25",""
"ZHI","202260-ZHI","202260","2022-05-22","2022-06-06",""
"ZXX","202260-ZXX","202260","","",""
"ZHK","202260-ZHK","202260","2022-05-23","2022-06-13",""
"ZHJ","202260-ZHJ","202260","2022-05-23","2022-06-09",""
"GF","202260-GF","202260","","",""
"ZHL","202260-ZHL","202260","2022-05-24","2022-06-16",""
"ZHO","202260-ZHO","202260","2022-05-26","2022-06-27",""
"ZHN","202260-ZHN","202260","2022-05-26","2022-06-23",""
"ZQE","202260-ZQE","202260","2022-07-19","2022-07-24",""
"ZQG","202260-ZQG","202260","2022-07-20","2022-07-31",""
"XL","202260-XL","202260","","",""
"HD","202260-HD","202260","","",""
"ZIL","202260-ZIL","202260","2022-06-01","2022-06-23",""
"HE","202260-HE","202260","","",""
"ZIK","202260-ZIK","202260","2022-05-31","2022-06-20",""
"ZIM","202260-ZIM","202260","2022-06-02","2022-06-27",""
"DD","202510-DD","202510","","",""
"HH","202510-HH","202510","","",""
"04","202510-04","202510","","",""
"FJ","202510-FJ","202510","","",""
"SAS","202510-SAS","202510","","",""
"DL","202510-DL","202510","","",""
"HP","202510-HP","202510","","",""
"BL","202510-BL","202510","","",""
"BN","202510-BN","202510","","",""
"BO","202510-BO","202510","","",""
"HI1","202510-HI1","202510","","",""
"QHG","202510-QHG","202510","","",""
"MB","202510-MB","202510","","",""
"MC","202510-MC","202510","","",""
"KD","202510-KD","202510","","",""
"KE","202510-KE","202510","","",""
"IG","202510-IG","202510","","",""
"IH","202510-IH","202510","","",""
"12","202510-12","202510","","",""
"GH","202510-GH","202510","","",""
"AD","202510-AD","202510","","",""
"AE","202510-AE","202510","","",""
"EJ","202510-EJ","202510","","",""
"AG","202510-AG","202510","","",""
"AH","202510-AH","202510","","",""
"EL","202510-EL","202510","","",""
"AI","202510-AI","202510","","",""
"AJ","202510-AJ","202510","","",""
"AK","202510-AK","202510","","",""
"AP","202510-AP","202510","","",""
"QSP","202510-QSP","202510","","",""
"RA","202510-RA","202510","","",""
"AQ","202510-AQ","202510","","",""
"1","202510-1","202510","","",""
"EX","202510-EX","202510","","",""
"2TW","202510-2TW","202510","","",""
"XM","202510-XM","202510","","",""
"QAG","202510-QAG","202510","","",""
"LD","202510-LD","202510","","",""
"HD","202510-HD","202510","","",""
"JF","202510-JF","202510","","",""
"FD","202510-FD","202510","","",""
"FE","202510-FE","202510","","",""
"QAN","202510-QAN","202510","","",""
"DD","202390-DD","202390","","",""
"HH","202390-HH","202390","","",""
"HI","202390-HI","202390","","",""
"ZEK","202390-ZEK","202390","2023-08-28","2023-09-18","2023-10-02"
"ZIO","202390-ZIO","202390","2023-09-28","2023-10-27","2023-11-17"
"ZEP","202390-ZEP","202390","2023-09-05","2023-10-09","2023-11-02"
"M2","202390-M2","202390","","",""
"DL","202390-DL","202390","","",""
"ZET","202390-ZET","202390","2023-09-06","2023-10-16","2023-11-13"
"ZES","202390-ZES","202390","2023-09-06","2023-10-16","2023-11-13"
"QHG","202390-QHG","202390","","",""
"IA","202390-IA","202390","","",""
"ZJH","202390-ZJH","202390","2023-09-28","2023-10-11","2023-10-19"
"IG","202390-IG","202390","","",""
"IH","202390-IH","202390","","",""
"AA","202390-AA","202390","","",""
"12","202390-12","202390","","",""
"EG","202390-EG","202390","","",""
